dong,latitude,longitude,school_count,subway_count
청운효자동,37.58465806,126.9704175,7,0
사직동,37.57410805,126.9701437,12,3
삼청동,37.58801344,126.9811137,7,0
부암동,37.59669866,126.9625567,2,0
평창동,37.61396501,126.969274,1,0
무악동,37.57774075,126.9589891,8,2
교남동,37.57105298,126.964161,16,3
가회동,37.58267644,126.9866182,8,1
종로1.2.3.4가동,37.57507655,126.9897333,8,6
종로5.6가동,37.573016,127.004241,4,8
이화동,37.57969001,127.0030693,8,2
혜화동,37.58747148,126.9976891,12,2
창신제1동,37.57226265,127.0140191,8,9
창신제2동,37.57575481,127.0102517,9,6
창신제3동,37.57881917,127.0132088,11,6
숭인제1동,37.57722518,127.0168612,10,8
숭인제2동,37.57430675,127.0206376,10,8
소공동,37.56429679,126.9743586,7,7
회현동,37.55696816,126.9767086,5,5
명동,37.56372809,126.9843554,4,9
필동,37.55680279,126.9938483,5,3
장충동,37.55560998,127.0022798,5,6
광희동,37.56520434,127.0036254,7,11
을지로동,37.56664043,126.9964914,3,13
신당동,37.56574752,127.0137748,10,11
다산동,37.55470266,127.0082631,11,7
약수동,37.54983728,127.0102398,12,4
청구동,37.55685546,127.0149896,12,7
신당제5동,37.56358116,127.0220162,18,6
동화동,37.56059413,127.018671,17,7
황학동,37.56841911,127.020798,10,8
중림동,37.55731796,126.9659614,14,7
후암동,37.54993772,126.9805887,7,3
용산2가동,37.54023873,126.9835321,7,2
남영동,37.54510712,126.9735057,11,3
청파동,37.54785722,126.9671666,14,3
원효로제1동,37.53747049,126.9665602,8,5
원효로제2동,37.53310438,126.9513933,4,1
효창동,37.54305122,126.9613089,11,4
용문동,37.5381469,126.9585843,9,3
한강로동,37.52918454,126.9678552,4,4
이촌제1동,37.5172771,126.9709594,4,1
이촌제2동,37.52333115,126.9539394,0,0
이태원제1동,37.53339456,126.9932493,2,2
이태원제2동,37.54166032,126.9921342,6,3
한남동,37.53710166,127.005801,2,1
서빙고동,37.52246962,126.9883765,2,0
보광동,37.52587096,127.0012626,4,0
왕십리제2동,37.56149776,127.0276904,12,5
왕십리도선동,37.56679117,127.0295695,6,5
마장동,37.56763673,127.0404901,9,4
사근동,37.558015,127.0454347,8,4
행당제1동,37.55901978,127.0360566,11,6
행당제2동,37.55667576,127.0295034,10,5
응봉동,37.5509888,127.0339822,10,1
금호1가동,37.55366878,127.0250557,13,2
금호2.3가동,37.55142836,127.0198922,9,4
금호4가동,37.54459485,127.0246,4,2
옥수동,37.54196706,127.0161757,7,2
성수1가제1동,37.54042032,127.0410443,7,1
성수1가제2동,37.54907374,127.0439521,9,2
성수2가제1동,37.5366552,127.0552814,6,1
성수2가제3동,37.54554228,127.0581429,7,2
송정동,37.55233315,127.065698,4,1
용답동,37.55854018,127.0578488,3,2
화양동,37.54326499,127.0734599,10,3
군자동,37.55306569,127.0736809,3,3
중곡제1동,37.5620373,127.0777222,5,3
중곡제2동,37.55890871,127.084587,10,4
중곡제3동,37.56785113,127.0819697,12,2
중곡제4동,37.56391182,127.0944481,6,1
능동,37.55065718,127.0816453,9,4
광장동,37.54828309,127.1048726,8,1
자양제1동,37.53554348,127.0804154,18,1
자양제2동,37.52933469,127.0832539,8,1
자양제3동,37.5316904,127.0711983,8,2
자양제4동,37.53389181,127.0637659,7,2
구의제1동,37.5414904,127.0860324,10,1
구의제2동,37.55100224,127.0944503,8,1
구의제3동,37.53509206,127.0952359,8,2
용신동,37.57561621,127.0322863,9,4
제기동,37.58367676,127.0372424,5,4
전농제1동,37.57901159,127.051048,11,1
전농제2동,37.58072119,127.0611441,15,0
답십리제1동,37.5709437,127.0516992,8,2
답십리제2동,37.57089199,127.0611138,7,1
장안제1동,37.56623145,127.0685899,6,1
장안제2동,37.57576022,127.0725385,9,0
청량리동,37.58894055,127.0451188,9,2
회기동,37.59370059,127.051407,10,0
휘경제1동,37.59187265,127.0624745,12,0
휘경제2동,37.58650599,127.0664358,15,0
이문제1동,37.59722176,127.0602927,7,0
이문제2동,37.60283343,127.0674922,6,0
면목제2동,37.58937783,127.0781438,8,2
면목제4동,37.57347748,127.0864748,6,3
면목제5동,37.58297244,127.0796656,11,2
면목본동,37.58834061,127.0895305,9,3
면목제7동,37.5772948,127.0926912,6,2
면목제3.8동,37.58459652,127.0973813,7,2
상봉제1동,37.60202536,127.0894684,12,2
상봉제2동,37.59424491,127.0838977,7,2
중화제1동,37.60228732,127.0831492,12,2
중화제2동,37.59872325,127.0752082,7,2
묵제1동,37.61373601,127.0824505,13,5
묵제2동,37.61037218,127.0746657,9,5
망우본동,37.6019869,127.107536,13,0
망우제3동,37.5918077,127.1029395,7,0
신내1동,37.61280175,127.1045067,8,1
신내2동,37.61095054,127.0916163,11,1
성북동,37.59586828,126.9961501,8,0
삼선동,37.5866188,127.0117956,14,4
동선동,37.59373543,127.0184261,18,2
돈암제1동,37.59932704,127.0240416,11,2
돈암제2동,37.59727529,127.0116292,13,1
안암동,37.58725171,127.027309,12,3
보문동,37.58260326,127.0192189,14,4
정릉제1동,37.60326167,127.0166528,11,1
정릉제2동,37.60379361,127.0081182,8,0
정릉제3동,37.61226303,126.993765,4,0
정릉제4동,37.62351062,126.9951801,1,0
길음제1동,37.60811224,127.0197352,10,1
길음제2동,37.6079711,127.027231,14,2
종암동,37.59725007,127.0333744,9,2
월곡제1동,37.60787813,127.0364479,8,2
월곡제2동,37.60329982,127.0451927,7,2
장위제1동,37.61494425,127.0442649,10,0
장위제2동,37.61222375,127.0517267,11,2
장위제3동,37.61817789,127.0534944,10,1
석관동,37.60826024,127.0613359,5,2
삼양동,37.62379262,127.0146843,14,0
미아동,37.62870001,127.0262927,7,2
송중동,37.6177049,127.0329218,11,1
송천동,37.61822155,127.0248713,15,2
삼각산동,37.61712721,127.0168306,15,0
번제1동,37.63762597,127.030545,4,1
번제2동,37.6295153,127.0347946,8,1
번제3동,37.62378241,127.0423359,9,0
수유제1동,37.6299267,127.0088389,7,0
수유제2동,37.64540182,127.0195037,9,0
수유제3동,37.64045508,127.0235463,5,1
우이동,37.66035273,127.000323,0,0
인수동,37.63764065,127.003963,6,0
창제1동,37.64713518,127.0435641,11,2
창제2동,37.64262634,127.0368249,7,1
창제3동,37.63736038,127.0416275,8,0
창제4동,37.65257763,127.0509264,15,2
창제5동,37.65535977,127.0427663,14,1
도봉제1동,37.68508409,127.0267942,0,0
도봉제2동,37.68118802,127.0477921,7,2
쌍문제1동,37.65302538,127.0195119,11,0
쌍문제2동,37.65706204,127.0370019,17,1
쌍문제3동,37.64768718,127.0305863,10,1
쌍문제4동,37.65555058,127.0304077,18,1
방학제1동,37.66503304,127.0435171,13,0
방학제2동,37.66914508,127.0322602,5,0
방학제3동,37.66279624,127.0234695,10,0
월계1동,37.62180521,127.0586035,8,1
월계2동,37.63407486,127.0512066,13,0
월계3동,37.62465546,127.0648918,10,1
공릉1동,37.62411899,127.0727701,9,3
공릉2동,37.63161361,127.0942279,3,0
하계1동,37.63861785,127.0748088,12,1
하계2동,37.63483892,127.0648229,14,1
중계본동,37.64813647,127.0857615,6,0
중계1동,37.65001713,127.0735009,22,1
중계4동,37.65884697,127.0822421,11,1
중계2.3동,37.64334422,127.0658879,21,2
상계1동,37.68326823,127.065333,2,0
상계2동,37.65648818,127.0672655,17,3
상계3.4동,37.67514556,127.0832669,1,1
상계5동,37.66322072,127.0695988,15,2
상계6.7동,37.64874987,127.0600922,18,3
상계8동,37.66629013,127.053651,21,1
상계9동,37.66807013,127.0624959,16,1
상계10동,37.65964375,127.0583985,19,3
녹번동,37.60541499,126.9350497,4,3
불광제1동,37.61731254,126.9392715,4,1
불광제2동,37.62437284,126.9286503,10,3
갈현제1동,37.62535252,126.9148871,15,2
갈현제2동,37.6182836,126.9121235,18,3
구산동,37.61106366,126.9076465,12,1
대조동,37.61227984,126.923095,10,6
응암제1동,37.59825533,126.9269001,6,3
응암제2동,37.5918852,126.9230242,11,2
응암제3동,37.58865367,126.9177452,10,2
역촌동,37.60456887,126.9145295,13,3
신사제1동,37.59899369,126.9088428,9,2
신사제2동,37.59289124,126.9062855,7,1
증산동,37.58378124,126.9058111,7,2
수색동,37.58577058,126.8949008,4,0
진관동,37.6392786,126.9405178,1,0
천연동,37.57121447,126.9571405,13,1
북아현동,37.55924765,126.9555167,18,5
충현동,37.56390859,126.9580981,15,4
신촌동,37.56363566,126.9410629,8,1
연희동,37.57200573,126.9327348,3,0
홍제제1동,37.58154125,126.9452007,6,2
홍제제3동,37.59202283,126.9511599,4,1
홍제제2동,37.58454681,126.9525258,4,2
홍은제1동,37.59997969,126.9470273,6,1
홍은제2동,37.58699157,126.9321738,12,0
남가좌제1동,37.57169443,126.9162014,12,0
남가좌제2동,37.57762435,126.9213304,10,0
북가좌제1동,37.57526769,126.9080032,11,2
북가좌제2동,37.58100351,126.9135009,12,1
아현동,37.55192606,126.9528414,20,5
공덕동,37.54911941,126.9577856,18,4
도화동,37.53703989,126.9468072,5,3
용강동,37.54058865,126.9412701,7,4
대흥동,37.55212202,126.9414005,17,4
염리동,37.549825,126.9475469,14,5
신수동,37.54362572,126.9336424,5,2
서강동,37.54594625,126.9251579,4,2
서교동,37.55477218,126.9209483,10,5
합정동,37.54687455,126.9088414,2,2
망원제1동,37.55275257,126.9002062,3,1
망원제2동,37.55712018,126.8956802,2,1
연남동,37.56302992,126.9215449,11,1
성산제1동,37.56198238,126.9118453,14,2
성산제2동,37.56810577,126.9020429,8,2
상암동,37.57179302,126.8808606,1,0
목1동,37.52744429,126.8750988,8,3
목2동,37.54359372,126.8740985,8,0
목3동,37.5452004,126.8654123,14,0
목4동,37.53543666,126.8668959,10,0
목5동,37.5363113,126.8810274,10,0
신월1동,37.5312656,126.8345321,6,0
신월2동,37.52339747,126.8463303,7,4
신월3동,37.53236069,126.8274672,12,0
신월4동,37.52224911,126.8398207,9,0
신월5동,37.54004485,126.8298984,16,1
신월6동,37.51597382,126.84213,14,0
신월7동,37.52066289,126.8323374,7,0
신정1동,37.51887731,126.8596345,11,4
신정2동,37.51895289,126.8751771,13,2
신정3동,37.51178227,126.839397,14,0
신정4동,37.52540925,126.8575706,11,3
신정6동,37.51591081,126.8696437,10,1
신정7동,37.51011626,126.8646833,10,1
염창동,37.55321167,126.8754313,6,0
등촌제1동,37.55585624,126.8596333,18,0
등촌제2동,37.54573555,126.8600253,13,0
등촌제3동,37.56105481,126.8463387,15,0
화곡제1동,37.53378027,126.840936,5,3
화곡제2동,37.53227844,126.8543682,7,3
화곡제3동,37.54405576,126.8342728,11,2
화곡제4동,37.53609824,126.8585756,9,0
화곡본동,37.54257376,126.848162,8,1
화곡제6동,37.5517219,126.8511659,11,0
화곡제8동,37.53422071,126.8486334,8,2
가양제1동,37.57310053,126.8343471,1,0
가양제2동,37.56865706,126.8540072,11,0
가양제3동,37.56268228,126.8622967,9,0
발산제1동,37.55044737,126.8255767,18,1
우장산동,37.55057211,126.8410151,11,1
공항동,37.55649098,126.7949567,0,1
방화제1동,37.56864279,126.8175504,11,1
방화제2동,37.58380446,126.8045064,3,0
방화제3동,37.58158459,126.8155342,7,1
신도림동,37.50973385,126.8828466,7,2
구로제1동,37.49303215,126.8754605,6,0
구로제2동,37.4974548,126.8794941,8,0
구로제3동,37.48487855,126.8949839,6,4
구로제4동,37.49153575,126.8901972,12,3
구로제5동,37.50203021,126.8884808,10,1
가리봉동,37.48255546,126.8882567,5,2
고척제1동,37.50065876,126.8633991,10,0
고척제2동,37.50585449,126.8533114,14,0
개봉제1동,37.49988482,126.849876,9,0
개봉제2동,37.4927299,126.856364,8,0
개봉제3동,37.48683576,126.8524112,6,1
오류제1동,37.49696398,126.841634,6,0
오류제2동,37.48419905,126.8346029,7,1
수궁동,37.49827721,126.8260696,9,1
가산동,37.47683526,126.8843407,2,1
독산제1동,37.46419939,126.8927203,8,0
독산제2동,37.46382547,126.902554,7,0
독산제3동,37.47593304,126.9045938,10,0
독산제4동,37.46921875,126.9040517,11,0
시흥제1동,37.45288648,126.9001461,9,0
시흥제2동,37.45058997,126.9200731,7,0
시흥제3동,37.4402763,126.9059256,6,0
시흥제4동,37.46007805,126.9091055,6,0
시흥제5동,37.44874995,126.9124311,12,0
영등포본동,37.51372246,126.9096958,8,1
영등포동,37.52152233,126.9078421,4,2
여의동,37.52748903,126.9275709,6,2
당산제1동,37.52393073,126.8968512,7,5
당산제2동,37.5329829,126.9039118,9,1
도림동,37.50927725,126.9012358,7,1
문래동,37.51638046,126.8914717,9,4
양평제1동,37.52507415,126.8870734,7,3
양평제2동,37.54060041,126.8941779,9,0
신길제1동,37.51233791,126.9195105,8,1
신길제3동,37.5064471,126.9058866,10,1
신길제4동,37.50728458,126.9129179,11,1
신길제5동,37.50111709,126.9055547,14,1
신길제6동,37.49915626,126.9135411,14,2
신길제7동,37.50579781,126.9198031,13,1
대림제1동,37.49376859,126.9052616,14,4
대림제2동,37.48963464,126.9006434,8,3
대림제3동,37.49986827,126.8972722,13,2
노량진제1동,37.51302538,126.9491547,5,0
노량진제2동,37.51092998,126.9380026,9,1
상도제1동,37.49832855,126.9534704,11,2
상도제2동,37.50367378,126.9420601,8,2
상도제3동,37.49722769,126.9333544,8,2
상도제4동,37.49742885,126.9407635,8,2
흑석동,37.50629622,126.9637629,7,0
사당제1동,37.47971693,126.9774092,7,5
사당제2동,37.49823275,126.9751918,3,1
사당제3동,37.48881204,126.970862,9,1
사당제4동,37.48059083,126.97077,13,2
사당제5동,37.48580389,126.9650402,11,2
대방동,37.50711415,126.9280262,14,1
신대방제1동,37.48994822,126.9107055,10,2
신대방제2동,37.4943097,126.9215319,11,2
보라매동,37.49035779,126.9325945,4,1
청림동,37.48941469,126.9595685,14,1
성현동,37.48951457,126.9511664,13,2
행운동,37.48090362,126.9606222,10,2
낙성대동,37.46723064,126.9600458,1,0
청룡동,37.47804927,126.9458841,12,2
은천동,37.48682133,126.9422091,10,1
중앙동,37.48412242,126.950618,14,2
인헌동,37.47207782,126.966619,6,1
남현동,37.46247162,126.9766402,0,0
서원동,37.48060171,126.9334447,5,2
신원동,37.47930041,126.9266988,11,1
서림동,37.47354846,126.9392101,10,0
신사동,37.4856255,126.9187529,10,2
신림동,37.48690034,126.9276129,8,1
난향동,37.46158877,126.9182663,9,0
조원동,37.48293838,126.9075252,10,2
대학동,37.4534754,126.9484818,0,0
삼성동,37.46066891,126.9301374,8,0
미성동,37.4759385,126.9154263,15,0
난곡동,37.47049534,126.9210486,12,0
서초1동,37.48695548,127.0201386,4,3
서초2동,37.488817,127.0279102,8,1
서초3동,37.48543127,127.0095921,7,3
서초4동,37.49898522,127.0199641,8,3
잠원동,37.51763843,127.0130388,3,2
반포본동,37.50628944,126.9864759,5,1
반포1동,37.50550591,127.016631,8,3
반포2동,37.50637942,126.9956951,7,2
반포3동,37.5124083,127.0035922,5,3
반포4동,37.49958086,127.003289,7,3
방배본동,37.49494886,126.9877656,11,2
방배1동,37.48491251,126.9963028,6,2
방배2동,37.47301542,126.9884853,6,3
방배3동,37.47431989,126.9978999,6,1
방배4동,37.48981879,126.990987,7,3
양재1동,37.46955773,127.0225308,4,0
양재2동,37.45114771,127.0459051,1,0
내곡동,37.45652174,127.070548,1,0
신사동,37.5257178,127.0213951,4,1
논현1동,37.51190951,127.0264959,1,4
논현2동,37.5152058,127.0362183,6,4
압구정동,37.53026671,127.0334835,5,1
청담동,37.52453792,127.0505033,6,1
삼성1동,37.51539702,127.0606281,3,4
삼성2동,37.51183935,127.0487603,5,5
대치1동,37.49339121,127.0589654,17,2
대치2동,37.50057536,127.0664154,8,3
대치4동,37.50166055,127.054899,12,1
역삼1동,37.50088902,127.0354909,2,3
역삼2동,37.49850209,127.044891,8,2
도곡1동,37.48904528,127.0409758,6,2
도곡2동,37.48821111,127.0496537,12,2
개포1동,37.4792839,127.0647095,8,0
개포2동,37.48647682,127.067635,15,1
개포4동,37.47555236,127.0532365,8,0
세곡동,37.47107468,127.1043475,4,0
일원본동,37.48236971,127.0846745,6,1
일원1동,37.49338576,127.089246,8,1
일원2동,37.49547357,127.0793166,7,2
수서동,37.48683684,127.1005693,5,1
풍납1동,37.5382393,127.1142997,4,2
풍납2동,37.52985047,127.1101272,9,1
거여1동,37.49438602,127.1416763,9,3
거여2동,37.49237517,127.1471747,11,2
마천1동,37.49478347,127.1557246,6,1
마천2동,37.50032842,127.1514576,6,1
방이1동,37.50977183,127.1223151,11,6
방이2동,37.51325463,127.1138263,7,4
오륜동,37.51761746,127.1287213,11,3
오금동,37.50398961,127.1343985,13,4
송파1동,37.50716769,127.1103206,12,5
송파2동,37.50283563,127.1168312,13,5
석촌동,37.50272362,127.1024623,9,4
삼전동,37.50172021,127.0919059,9,2
가락본동,37.49721686,127.1216395,13,6
가락1동,37.49532907,127.108235,13,3
가락2동,37.49585964,127.130643,12,4
문정1동,37.48817304,127.1268593,11,4
문정2동,37.48069393,127.1191361,4,2
장지동,37.48278895,127.131629,9,2
위례동,37.4816611,127.1412431,9,0
잠실본동,37.50550699,127.0822939,7,3
잠실2동,37.51771946,127.0788194,6,2
잠실3동,37.51363837,127.0943193,9,2
잠실4동,37.52125459,127.1081523,9,5
잠실6동,37.51906528,127.0999816,5,4
잠실7동,37.50748108,127.0740976,5,3
강일동,37.56389513,127.1740185,9,1
상일동,37.55074458,127.1648423,11,1
명일제1동,37.5503714,127.1459406,15,3
명일제2동,37.54828868,127.1542047,12,2
고덕제1동,37.56334718,127.1503072,8,1
고덕제2동,37.56586515,127.1616393,5,0
암사제1동,37.551855,127.1345856,13,2
암사제2동,37.55738056,127.1232422,3,1
암사제3동,37.56150499,127.1385091,6,0
천호제1동,37.54631851,127.1385817,9,3
천호제2동,37.54469098,127.1222751,4,3
천호제3동,37.53965387,127.1331959,7,4
성내제1동,37.52876408,127.1255189,10,3
성내제2동,37.53436452,127.1277368,7,4
성내제3동,37.52840356,127.1337967,12,2
길동,37.53972505,127.1459068,7,2
둔촌제1동,37.52314517,127.1404347,15,3
둔촌제2동,37.53151448,127.1474138,6,2
